wmh_ml,support_min,support_max,both_low_n,persistent_n,status,both_low_probability,both_low_lower,both_low_upper,persistent_probability,persistent_lower,persistent_upper,difference_estimate,difference_lower,difference_upper,relative_probability_ratio,ratio_lower,ratio_upper,ci
3.4013018571206164,3.401301857120617,33.7396623116926,1067,456,OUTSIDE_OBSERVED_SUPPORT,,,,,,,,,,,,,
3.6346000928844786,3.401301857120617,33.7396623116926,1067,456,ESTIMATED,0.1040535870271754,0.07604992120051925,0.1407976028358644,0.13833411462806028,0.0925648968597371,0.2017038102088059,0.03428052760088486,-0.02786668040584108,0.09642773560761081,1.3347479218768343,0.7458276069898717,2.388691432521244,pointwise delta + Rubin; fixed covariate distribution
3.880264684916879,3.401301857120617,33.7396623116926,1067,456,ESTIMATED,0.1079681772164756,0.07999823716303842,0.1441846868742349,0.14252860791603927,0.09702239591944241,0.20454370362039861,0.034560430699563674,-0.026859022598610408,0.09597988399773776,1.3278000107064596,0.7584751907169291,2.3244700551979744,pointwise delta + Rubin; fixed covariate distribution
4.138951132248316,3.401301857120617,33.7396623116926,1067,456,ESTIMATED,0.1120072912182374,0.08411747422209341,0.14765343469431333,0.14681592515696276,0.10163781990230213,0.20743871928685195,0.03480863393872537,-0.02581134205387553,0.09542860993132626,1.3208882662675256,0.771117048573769,2.2626212391364584,pointwise delta + Rubin; fixed covariate distribution
4.411349679712309,3.401301857120617,33.7396623116926,1067,456,ESTIMATED,0.11617330328756678,0.08841078172205583,0.1512076758838268,0.15119623195385432,0.1064101305209636,0.21039388077191865,0.03502292866628753,-0.024728902479518804,0.09477475981209385,1.31401250029734,0.7837175539095054,2.203126422681912,pointwise delta + Rubin; fixed covariate distribution
4.698187159703772,3.401301857120617,33.7396623116926,1067,456,ESTIMATED,0.12046852157280363,0.0928806774819821,0.15485181280412277,0.1556695862713895,0.11133718964068619,0.21341505651169881,0.03520106469858588,-0.02361816118270016,0.09402029057987192,1.3071725255131947,0.7962346580034398,2.145975428576687,pointwise delta + Rubin; fixed covariate distribution
5.00022893156281,3.401301857120617,33.7396623116926,1067,456,ESTIMATED,0.12489517896783323,0.0975288965816494,0.1585909404503843,0.1602359345599064,0.11641557501909748,0.21650911101176093,0.03534075559207318,-0.02248696649839043,0.09316847768253678,1.300368155607266,0.8086187875709193,2.0911675144193183,pointwise delta + Rubin; fixed covariate distribution
5.3182809237587465,3.401301857120617,33.7396623116926,1067,456,ESTIMATED,0.12945542364722928,0.10235621177840432,0.16243099213369058,0.16489510807573676,0.12164037069681084,0.21968408055414881,0.035439684428507465,-0.021344787438525942,0.09222415629554087,1.2935992052415377,0.820811583303979,2.0387125837889304,pointwise delta + Rubin; fixed covariate distribution
5.653191784323471,3.401301857120617,33.7396623116926,1067,456,ESTIMATED,0.13415130930827235,0.10736222095012347,0.16637891559480666,0.16964681942285498,0.12700493103897015,0.22294937462701264,0.03549551011458263,-0.020202978324910532,0.09119399855407578,1.2868654900427552,0.8327444839033772,1.9886325535302225,pointwise delta + Rubin; fixed covariate distribution
6.005855145272028,3.401301857120617,33.7396623116926,1067,456,ESTIMATED,0.13898478514776585,0.1125450971539601,0.1704428839955316,0.17449065934080787,0.132500619497117,0.22631600224762202,0.035505874193042006,-0.019075079219408153,0.09008682760549216,1.2801668265974018,0.8443371821348223,1.9409628506195258,pointwise delta + Rubin; fixed covariate distribution
