estimate,se,lower,upper,p,df,m,within_variance,between_variance,term,scale
2.422455924313046,0.049953984798662185,2.324547256471339,2.5203645921547526,0.0,180441.27791744674,2,0.0024895260780645224,3.916346133633367e-06,intercept,difference
0.17915005566214065,0.015436646558530517,0.14889478433227837,0.20940532699200293,3.8640812734768534e-31,1107402831.858529,2,0.00023828289631211766,4.773773916254659e-09,cer_ratio,difference
0.14851613643142086,0.024069343166193784,0.10134109040249524,0.1956911824603465,6.814154386655762e-10,195778859.15711665,2,0.0005792918761391897,2.7602875206477786e-08,age,difference
0.05420353790507423,0.028762993422391612,-0.002170893312521127,0.11057796912266958,0.05949889341275738,3081175483.3486648,2,0.000827294886372705,9.93616255876232e-09,age_rcs,difference
-0.015380396118796016,0.022901669762902182,-0.06026684492604503,0.029506052688453004,0.5018485380205212,61310333.30725269,2,0.0005244194944874961,4.465562768797105e-08,sex_2,difference
0.009092377912811145,0.031757328309078875,-0.05315084185688064,0.07133559768250293,0.774642213090828,1947552381.6152956,2,0.0010085050483240794,1.523533769539936e-08,smoking_2,difference
0.0047167881019429475,0.031480779028598825,-0.05698440510812165,0.06641798131200755,0.8808981640530628,686739767.9371206,2,0.0009910016305709056,2.5211784374779556e-08,smoking_3,difference
0.0009867466372834707,0.031881494180780026,-0.061499834768880955,0.0634733280434479,0.9753090548334106,72826826.5820397,2,0.0010163105657471907,7.940363461314785e-08,smoking_4,difference
0.015999807598134824,0.03304130955768469,-0.04875997413345162,0.08075958932972127,0.6282180532005964,15687617.933320543,2,0.0010914525012468291,1.8375735994439166e-07,drinking_2,difference
0.03727034110683169,0.03215025092187839,-0.02574299279600647,0.10028367500966984,0.24635223352867375,37555321527.77355,2,0.0010336333005856223,3.555836079981371e-09,drinking_3,difference
0.05548662218855905,0.03175873398118488,-0.006759353145364133,0.11773259752248223,0.08061487311237747,140504628.85208818,2,0.0010085320935932672,5.6726996266680324e-08,drinking_4,difference
0.004009407104417328,0.023199199093738212,-0.04152122894093216,0.049540043149766816,0.8628275363847427,902.7879399940279,2,0.0005202904661963832,1.1941581596347067e-05,hypertension_2,difference
0.023719501648873216,0.022881074292867388,-0.021126579893037623,0.06856558319078405,0.2999023439930337,177689006442.70642,2,0.0005235423187930083,8.280018057251406e-10,diabetes_2,difference
-0.018513120743624562,0.022861866625482126,-0.06332155595025525,0.026295314463006123,0.4180656641076445,40855827236.538246,2,0.0005226623597927701,1.7238723755742516e-09,prior_stroke_2,difference
0.003926940755443903,0.0038904299288238116,-0.0036981955565296215,0.011552077067417427,0.3127910287358473,273319.13571640116,2,1.5106494257309472e-05,1.9300515852384938e-08,bmi,difference
-0.016948520738802354,0.036857775017878194,-0.0891932860668492,0.05529624458924449,0.6456397061365549,18015.46127702486,2,0.0013483742970150175,6.747521502339041e-06,education_2,difference
0.036947783803035025,0.03679912732447915,-0.035212569012699035,0.10910813661876909,0.31545791874578377,2468.0156291996072,2,0.0013269173262559879,1.8172297058160034e-05,education_3,difference
0.037308981416140266,0.037980441916261425,-0.03714813319772785,0.11176609603000838,0.3259861318261043,5359.068066735989,2,0.0014228090157305268,1.313663494932079e-05,education_4,difference
0.005526560610522482,0.03684797654653616,-0.0666958017214752,0.07774892294252016,0.8807788028463714,52806.2645962598,2,0.0013518647759209585,3.93906643541363e-06,education_5,difference
-0.032099295062619757,0.040043336788058416,-0.11058883779984531,0.0463902476746058,0.42278845859228964,15716.096797811637,2,0.001590678301975919,8.527012763969126e-06,cysc,difference
-0.01603174686132592,0.019745981003336924,-0.0547331599719786,0.02266966624932676,0.41684945994009676,31131001.071079817,2,0.00038983388449846744,4.65875237835412e-08,ldl,difference
0.023836238807950785,0.019915930868732976,-0.015204193840942792,0.06287667145684436,0.23140340405862878,7974.621050630718,2,0.0003922026333509589,2.9611126781280917e-06,tg,difference
-0.0023273723057618094,0.024593487621866434,-0.05052972428694752,0.04587497967542391,0.9246057955509647,29345881.152103953,2,0.0006047279813664291,7.443469364561753e-08,prior_statin_1,difference
0.005558572196793777,0.0057497882101594415,-0.005710805618698482,0.016827950012286035,0.333672117330299,2814277764.7143784,2,3.305944127206085e-05,4.15459751773007e-10,sample_day,difference
-0.03989178558137206,0.0191121835893319,-0.07735097722631723,-0.002432593936426891,0.03686610815730029,314993527.1081678,2,0.00036525498039453386,1.3720771862490024e-08,lesion_ml,difference
0.0011019736593116643,0.01284859817756282,-0.0240808162027129,0.026284763521336227,0.9316523862718752,167314118.0407518,2,0.00016507371235089844,8.508518381448333e-09,icv_ml,difference
