estimate,se,lower,upper,p,df,m,within_variance,between_variance,term,scale,ratio,ratio_lower,ratio_upper
-2.1016232683376606,0.28030917557597695,-2.6510216227786643,-1.5522249138966568,6.523473922887283e-14,269680.75505976664,2,0.07842193017654851,0.00010086915702358668,dependent:intercept,relative_probability_ratio,0.12225780985934397,0.07057907102907268,0.2117762653102447
0.26847471433874703,0.05828743643144734,0.1542334379208464,0.38271599075664764,4.103943231206807e-06,529589180.25846326,2,0.0033972776137994667,9.842130036516237e-08,dependent:wmh_ml,relative_probability_ratio,1.3079679037790934,1.1667632217711559,1.4662615390972795
0.026254233455431153,0.16121053031140628,-0.2897126012943587,0.342221068205221,0.8706311738270494,271070823.0840355,2,0.025987256580232584,1.052335368168967e-06,dependent:albuminuria_1,relative_probability_ratio,1.026601911850628,0.7484786484648696,1.4080715429584236
0.596551348092564,0.15663335995609373,0.2895555122885578,0.9035471838965703,0.00013976677983464517,4060392.424452399,2,0.024521834015088777,8.11695736429844e-06,dependent:albuminuria_2,relative_probability_ratio,1.8158457698804835,1.335833594428792,2.4683432680121986
0.09072164364705977,0.14554886838398964,-0.1945489278519434,0.3759922151460629,0.5330827432930715,10969734.80831465,2,0.021178076923691773,4.264109445442049e-06,dependent:albuminuria_3,relative_probability_ratio,1.094964172600695,0.8232058995747832,1.4564357955870157
0.0781640292509807,0.13090410550067036,-0.1784033052050149,0.3347313637069763,0.5504345608728449,138248202.7603386,2,0.0171344274435666,9.715955760223106e-07,dependent:age,relative_probability_ratio,1.0813000089549225,0.8366049483103996,1.3975648981365003
0.20635622234784065,0.14692602398081278,-0.0816135239342505,0.49432596862993183,0.16017283077687888,11284255.34135337,2,0.021580830222751937,4.28420003895735e-06,dependent:age_rcs,relative_probability_ratio,1.2291909913167403,0.9216280770696123,1.6393928643518407
0.14508392061486647,0.1099657283941784,-0.07044500371077411,0.36061284494050705,0.18705026016052811,4565481.749384354,2,0.012086802008041282,3.7729421472867473e-06,dependent:sex_2,relative_probability_ratio,1.1561365898904847,0.9319789935026772,1.4342080924592848
0.11897098230172115,0.15712447651147343,-0.18898734795362743,0.42692931255706973,0.44894405400610216,24517410.37326021,2,0.02468311514064346,3.323985574072425e-06,dependent:smoking_2,relative_probability_ratio,1.1263372341001259,0.8277969799542568,1.532544326255485
0.197163767281197,0.15099683367255043,-0.0987845965722497,0.4931121311346437,0.1916383799039986,44356166.854308195,2,0.022796620371014105,2.282272081170112e-06,dependent:smoking_3,relative_probability_ratio,1.2179434836673186,0.9059378291216389,1.6374041150769876
0.0883327701078977,0.15863438831318355,-0.2225849610411224,0.3992505012569178,0.5776419464700511,8681931.070064338,2,0.0251563285923156,5.693708788204061e-06,dependent:smoking_4,relative_probability_ratio,1.092351563501263,0.8004469970509495,1.490706995815868
0.1676708267460159,0.16065630819317195,-0.14720979715050625,0.48255145064253807,0.29664199197810287,8294469.212479725,2,0.025801487438066567,5.974616128589246e-06,dependent:drinking_2,relative_probability_ratio,1.182547283635962,0.8631128797973547,1.6202030009830455
0.1041703414754402,0.15663162859681062,-0.20282204698531797,0.41116272993619835,0.5060084149045121,9889840.948266312,2,0.024525665825488315,5.2008342672722035e-06,dependent:drinking_3,relative_probability_ratio,1.1097894819933405,0.8164235135249116,1.5085708262191866
0.2557373765557521,0.15411044443469446,-0.04631354421076744,0.5577882973222716,0.09702671658624007,11059339893.854548,2,0.02374980324454662,1.5055954162119006e-07,dependent:drinking_4,relative_probability_ratio,1.2914135279320627,0.954742561252598,1.7468048119043649
0.34930165844791305,0.11049127787694908,0.13274272921476585,0.5658605876810603,0.0015703947018244294,65717433.75717209,2,0.012206816519050947,1.0039785534878796e-06,dependent:hypertension_2,relative_probability_ratio,1.4180769007044085,1.1419561685754165,1.760962593529364
-0.018832441238575137,0.1098799485454969,-0.2341931830111172,0.19652830053396692,0.8639162811079858,1026610827165.7875,2,0.012073591176265563,7.944063657160616e-09,dependent:diabetes_2,relative_probability_ratio,0.9813437812160141,0.7912089530028383,1.2171697669451036
0.19001889741336092,0.11008584179290516,-0.02574552256047527,0.4057833173871971,0.08433003121643495,1936594.9197353886,2,0.012110184059541356,5.805669140793729e-06,dependent:prior_stroke_2,relative_probability_ratio,1.2092724495626752,0.974583067458638,1.5004773898694639
-0.009430985471765931,0.018696544218328347,-0.04607575735971464,0.027213786416182776,0.6139640096476507,202912.37772776396,2,0.0003487847537527357,5.173413034476068e-07,dependent:bmi,relative_probability_ratio,0.9906133467965981,0.9549696134737509,1.0275874635235505
0.07180882022028562,0.1737124433569427,-0.26867128218247827,0.4122889226230495,0.6793321815306238,41335.50154182746,2,0.030027590302881928,9.894844943806163e-05,dependent:education_2,relative_probability_ratio,1.0744499113297847,0.7643944844408975,1.5102707246782117
