estimate,se,lower,upper,p,df,m,within_variance,between_variance,term,scale,ratio,ratio_lower,ratio_upper
0.04816869181391652,0.06634139219643678,-0.08185805918333426,0.17819544281116728,0.4677940495666775,13557886.903245324,2,0.004399985028911944,7.968597663329911e-07,sbp3,HR,1.0493476567543516,0.9214027340714994,1.195058864075828
-0.010962788603577732,0.06378697845072907,-0.13598297440162035,0.11405739719446488,0.8635431768024713,28273646.320087686,2,0.004068013423064835,5.101312059598441e-07,sbp3_rcs,HR,0.9890970837742662,0.8728574932833353,1.1208164547579713
0.38582569604945627,0.1159303842077849,0.1586063182807635,0.613045073818149,0.0008744647234950165,36458506710.83911,2,0.01343978359513404,4.692495372286809e-08,wmh_ml,HR,1.470828277290887,1.1718765094979935,1.8460441895923012
-0.09224980237728926,0.10928134172394978,-0.30643729633850325,0.12193769158392474,0.3985858065085497,4458519273554.575,2,0.011942405993151925,3.770556507856728e-09,wmh_ml_rcs,HR,0.9118773319662673,0.7360646706823296,1.1296837107846807
-0.22361715999039264,0.07890021867016372,-0.3782587470341504,-0.06897557294663487,0.004594392298241383,2402665119.3374305,2,0.0062251175044243205,8.466785022179413e-08,age,HR,0.7996212027669622,0.6850532222422359,0.9333494787772747
0.1882090230025938,0.0929914476395458,0.005949134061613043,0.37046891194357456,0.04297642331973558,316396767.866465,2,0.00864692318442527,3.240997820793179e-07,age_rcs,HR,1.207085797680101,1.0059668653040619,1.4484136339029403
0.05240648613212531,0.07459419267964588,-0.09379544497609113,0.19860841724034176,0.4823334230372971,657332823786.565,2,0.005564286718474762,4.57536891604966e-09,sex_2,HR,1.053804012181557,0.9104689841986301,1.2197042572157268
0.01587615707690876,0.10756381402690406,-0.19494507076989906,0.22669738492371658,0.8826603796442481,9697026.335816821,2,0.011566258623662937,2.4769762343099473e-06,smoking_2,HR,1.0160028528513538,0.8228798569716452,1.254450194954352
0.15390627582636746,0.10278424611043285,-0.04754714522729783,0.35535969688003277,0.1342964305313026,488528144.0033879,2,0.010564123270041277,3.186522991682873e-07,smoking_3,HR,1.166381563507223,0.9535655160098822,1.4266937392851937
0.04973569439741904,0.10746216798540295,-0.16088628507386313,0.26035767386870123,0.6434930354823474,490910488.3967706,2,0.011547596341362263,3.4747117379984527e-07,smoking_4,HR,1.0509932762517453,0.8513888812264114,1.2973940476357158
-0.2185698472459831,0.1048579811726955,-0.4240877138371198,-0.013051980654846418,0.037120442531185724,231509756777.29163,2,0.010995173363922799,1.5234460376949375e-08,drinking_2,HR,0.8036673435335772,0.654366482396476,0.9870328270740826
-0.24253320405879086,0.10288441367634421,-0.4441829496376861,-0.04088345847989561,0.018406549249433964,1203853321.654243,2,0.010584897498474542,2.0338603372223819e-07,drinking_3,HR,0.7846376939900617,0.6413480756954433,0.9599409964120608
-0.17038515962818002,0.10277345683472938,-0.3718174339630983,0.031047114706738266,0.09734345614859725,655100050.9539888,2,0.010561970754805222,2.751166365072878e-07,drinking_4,HR,0.84333993353925,0.6894801066852124,1.0315341031684047
-0.0010338727247008073,0.07472594407743675,-0.14751465840597183,0.1454469129565702,0.9889615208808007,8595.451041730223,2,0.005523737325358999,4.0152928603470585e-05,hypertension_2,HR,0.9989666615375691,0.8628497902261573,1.1565563347960626
-0.04901559806202232,0.07432535620571659,-0.19469061936548943,0.09665942324144478,0.5095917985094298,81934154252.39774,2,0.005524239275808706,1.2866198631452578e-08,diabetes_2,HR,0.9521662776340194,0.8230892665480626,1.1014851694831136
-0.007473328653495701,0.07461609818872109,-0.15371819377932694,0.13877153647233553,0.9202196396265692,19594652696.69113,2,0.005567522335182151,2.651581780923465e-08,prior_stroke_2,HR,0.9925545272318296,0.8575136396430051,1.1488615970453118
0.026844297093603038,0.012162814709072963,0.0030055162859785496,0.05068307790122753,0.027309316846024535,282803.16123109835,2,0.00014765588155203616,1.854533968036514e-07,bmi,HR,1.027207851063456,1.0030100373783222,1.0519894417451499
-0.014314599411413387,0.13641631896710732,-0.2816933211547823,0.2530641223319555,0.9164293206027604,42305.85776225673,2,0.018518936287094667,6.031719562726553e-05,cysc,HR,0.9857873673491361,0.7545050397897078,1.2879658615613618
0.05289786920466952,0.035443467690475766,-0.016570050995347363,0.1223657894046864,0.1355792508046304,2129976273.4225612,2,0.001256212182119644,1.814653743689068e-08,sbp0,HR,1.054321960880112,0.98356647716665,1.1301674294514836
-0.13405877231439023,0.07452228664346912,-0.2801197701911483,0.012002225562367852,0.07203316127318796,17699371024.699955,2,0.005553529462632289,2.7829292723579236e-08,chd_1,HR,0.8745386644315629,0.7556932265131487,1.0120745412985839
0.09784988618224376,0.11807299916737696,-0.13356893973244283,0.32926871209693037,0.40726080317429253,3.885987331996317e+19,2,0.013941233130142994,1.4909368209739236e-12,toast_2,HR,1.1027972275805393,0.8749671468973432,1.3899513021395895
0.0658131934861679,0.11908851639389188,-0.16759600962026758,0.2992223965926034,0.5805092801896872,134551878317.8891,2,0.014182036073957207,2.5775294033917855e-08,toast_3,HR,1.0680271840945963,0.8456954184949821,1.348809560769544
0.11879313981776593,0.11770046880833418,-0.1118955401481733,0.3494818197837052,0.31283869636158856,2021494747.7602215,2,0.013853092237568618,2.054134220194693e-07,toast_4,HR,1.1261369412994549,0.8941376541090353,1.4183324063485234
-0.002839175297016055,0.11936838905770589,-0.23679691883602863,0.23111856824199653,0.9810241172068942,3033661391.4899926,2,0.01424855360701529,1.7246614436688144e-07,toast_5,HR,0.997164851349481,0.7891515335576182,1.2600086276005862
