wmh_percentile,sbp_left,sbp_right,n
25,86.58447080694991,90.57196447858865,1
25,90.57196447858865,94.5594581502274,0
25,94.5594581502274,98.54695182186614,1
25,98.54695182186614,102.53444549350489,3
25,102.53444549350489,106.52193916514364,3
25,106.52193916514364,110.50943283678237,7
25,110.50943283678237,114.49692650842111,18
25,114.49692650842111,118.48442018005986,34
25,118.48442018005986,122.4719138516986,33
25,122.4719138516986,126.45940752333735,50
25,126.45940752333735,130.44690119497608,60
25,130.44690119497608,134.43439486661484,44
25,134.43439486661484,138.4218885382536,63
25,138.4218885382536,142.40938220989233,49
25,142.40938220989233,146.39687588153106,57
25,146.39687588153106,150.38436955316982,42
25,150.38436955316982,154.37186322480855,40
25,154.37186322480855,158.3593568964473,37
25,158.3593568964473,162.34685056808604,14
25,162.34685056808604,166.33434423972477,13
25,166.33434423972477,170.32183791136353,5
25,170.32183791136353,174.3093315830023,2
25,174.3093315830023,178.29682525464102,1
25,178.29682525464102,182.28431892627975,0
25,182.28431892627975,186.2718125979185,0
50,86.58447080694991,90.57196447858865,2
50,90.57196447858865,94.5594581502274,0
50,94.5594581502274,98.54695182186614,3
50,98.54695182186614,102.53444549350489,4
50,102.53444549350489,106.52193916514364,4
50,106.52193916514364,110.50943283678237,12
50,110.50943283678237,114.49692650842111,10
50,114.49692650842111,118.48442018005986,16
50,118.48442018005986,122.4719138516986,32
50,122.4719138516986,126.45940752333735,58
50,126.45940752333735,130.44690119497608,63
50,130.44690119497608,134.43439486661484,58
50,134.43439486661484,138.4218885382536,51
50,138.4218885382536,142.40938220989233,47
50,142.40938220989233,146.39687588153106,54
50,146.39687588153106,150.38436955316982,46
50,150.38436955316982,154.37186322480855,47
50,154.37186322480855,158.3593568964473,28
50,158.3593568964473,162.34685056808604,13
50,162.34685056808604,166.33434423972477,14
50,166.33434423972477,170.32183791136353,7
50,170.32183791136353,174.3093315830023,3
50,174.3093315830023,178.29682525464102,4
50,178.29682525464102,182.28431892627975,1
50,182.28431892627975,186.2718125979185,1
75,86.58447080694991,90.57196447858865,0
75,90.57196447858865,94.5594581502274,1
75,94.5594581502274,98.54695182186614,0
75,98.54695182186614,102.53444549350489,4
75,102.53444549350489,106.52193916514364,10
75,106.52193916514364,110.50943283678237,8
75,110.50943283678237,114.49692650842111,15
75,114.49692650842111,118.48442018005986,24
75,118.48442018005986,122.4719138516986,31
75,122.4719138516986,126.45940752333735,46
75,126.45940752333735,130.44690119497608,65
75,130.44690119497608,134.43439486661484,69
75,134.43439486661484,138.4218885382536,56
75,138.4218885382536,142.40938220989233,54
75,142.40938220989233,146.39687588153106,48
75,146.39687588153106,150.38436955316982,41
75,150.38436955316982,154.37186322480855,37
75,154.37186322480855,158.3593568964473,23
75,158.3593568964473,162.34685056808604,23
75,162.34685056808604,166.33434423972477,6
75,166.33434423972477,170.32183791136353,7
75,170.32183791136353,174.3093315830023,5
75,174.3093315830023,178.29682525464102,4
75,178.29682525464102,182.28431892627975,0
75,182.28431892627975,186.2718125979185,0
